,date,sknt,gust
662,2016-07-16 14:51:00,19,24
663,2016-07-17 14:47:00,16,16
664,2016-07-18 14:51:00,41,41
665,2016-07-19 14:47:00,41,47
666,2016-07-20 14:54:00,37,51
667,2016-07-21 14:51:00,19,22
668,2016-07-22 14:55:00,56,63
669,2016-07-23 14:54:00,27,27
670,2016-07-24 14:56:00,13,13
671,2016-07-25 14:50:00,13,13
672,2016-07-26 14:50:00,31,42
673,2016-07-27 14:57:00,10,15
674,2016-07-28 14:49:00,13,13
675,2016-07-29 14:51:00,8,8
676,2016-07-30 14:52:00,3,3
677,2016-07-31 14:53:00,5,5
678,2016-08-01 14:58:00,13,13
679,2016-08-02 14:52:00,6,6
680,2016-08-03 14:47:00,3,3
681,2016-08-04 14:54:00,11,11
682,2016-08-05 14:55:00,9,9
683,2016-08-06 14:50:00,30,37
684,2016-08-07 14:47:00,31,39
685,2016-08-08 14:50:00,36,49
686,2016-08-09 14:52:00,14,16
687,2016-08-10 14:54:00,22,26
688,2016-08-11 14:49:00,20,30
689,2016-08-12 14:51:00,35,41
690,2016-08-13 14:51:00,31,31
691,2016-08-14 14:47:00,43,51
692,2016-08-15 14:55:00,25,31
693,2016-08-16 14:56:00,20,20
694,2016-08-17 14:51:00,31,38
695,2016-08-18 14:48:00,30,37
696,2016-08-19 14:52:00,6,6
697,2016-08-20 14:47:00,17,25
698,2016-08-21 14:50:00,25,44
699,2016-08-22 14:47:00,44,52
700,2016-08-23 14:52:00,25,30
701,2016-08-24 14:55:00,23,27
702,2016-08-25 14:53:00,31,42
703,2016-08-26 14:54:00,35,42
704,2016-08-27 14:51:00,15,25
705,2016-08-28 14:48:00,17,28
706,2016-08-29 14:51:00,46,58
707,2016-08-30 14:53:00,6,6
708,2016-08-31 14:53:00,37,37
709,2016-09-01 14:51:00,13,18
710,2016-09-02 14:56:00,20,26
711,2016-09-03 14:51:00,2,2
712,2016-09-04 14:51:00,5,5
713,2016-09-05 14:50:00,2,2
714,2016-09-07 14:54:00,3,3
715,2016-09-08 14:52:00,14,14
716,2016-09-09 14:49:00,35,43
717,2016-09-10 14:51:00,18,27
718,2016-09-11 14:47:00,68,78
719,2016-09-12 14:57:00,13,19
720,2016-09-13 14:56:00,18,27
721,2016-09-14 14:56:00,46,62
722,2016-09-15 14:53:00,4,4
723,2016-09-16 14:51:00,7,7
724,2016-09-17 14:54:00,17,21
725,2016-09-18 14:54:00,23,23
726,2016-09-19 14:53:00,13,17
727,2016-09-20 14:48:00,24,24
728,2016-09-21 14:51:00,39,45
729,2016-09-22 14:57:00,27,27
730,2016-09-23 14:51:00,31,31
731,2016-09-24 14:53:00,46,53
732,2016-09-25 14:51:00,40,40
