,WindDir,valid,UP,M,BL,FG,RA,SN,tmpf,dwpf,relh,sknt,vsby,gust
158,NW,2014-08-25 04:50:00,False,True,False,False,False,False,51.8,39.2,61.99,9,60,9
159,SW,2014-08-25 14:49:00,False,True,False,False,False,False,57.2,50,76.82,5,50,5
160,S,2014-08-25 22:55:00,False,True,False,False,False,False,53.6,46.4,76.5,8,45,8
161,W,2014-08-26 04:53:00,False,True,False,False,False,False,50,44.6,81.61,18,45,18
162,SW,2014-08-26 14:53:00,False,True,False,False,False,False,60.8,48.2,63.15,14,45,18
163,W,2014-08-26 22:51:00,False,True,False,False,False,False,51.8,46.4,81.74,30,45,30
164,W,2014-08-27 04:49:00,False,False,False,True,False,False,53.6,53.6,100,40,0,47
165,W,2014-08-27 14:54:00,False,True,False,False,False,False,53.6,50,87.56,26,15,33
166,W,2014-08-27 22:51:00,False,False,False,True,False,False,48.2,48.2,100,29,0,29
167,W,2014-08-28 04:55:00,False,False,False,True,False,False,42.8,42.8,100,28,0,28
168,NW,2014-08-28 14:50:00,False,False,False,True,False,False,39.2,39.2,100,39,0,47
169,N,2014-08-28 22:54:00,False,False,False,True,False,False,37.4,37.4,100,30,0,41
170,NW,2014-08-29 04:57:00,False,False,False,True,False,False,37.4,37.4,100,21,0.06,27
171,SW,2014-08-29 14:49:00,False,True,False,False,False,False,48.2,44.6,87.28,10,90,10
172,S,2014-08-29 22:57:00,False,True,False,False,False,False,46.4,26.6,45.73,17,100,17
173,SW,2014-08-30 04:56:00,False,False,False,True,False,False,42.8,42.8,100,33,0,33
174,SW,2014-08-30 14:57:00,False,True,False,False,False,False,53.6,35.6,50.36,29,90,34
175,W,2014-08-31 14:49:00,True,True,False,False,False,False,53.6,53.6,100,42,0,42
176,W,2014-09-01 04:52:00,False,False,False,True,False,False,51.8,51.8,100,30,0,30
177,W,2014-09-02 04:51:00,False,False,False,True,False,False,53.6,53.6,100,27,0,27
178,W,2014-09-02 14:52:00,False,True,False,False,False,False,59,55.4,87.83,24,1,24
179,SW,2014-09-02 22:54:00,False,False,False,True,False,False,55.4,55.4,100,29,0.06,34
180,NW,2014-09-03 04:57:00,True,True,False,False,False,False,46.4,46.4,100,51,0,56
181,NW,2014-09-03 14:48:00,False,False,False,True,False,False,46.4,46.4,100,39,0.06,47
182,NW,2014-09-03 22:55:00,False,True,False,False,False,False,42.8,39.2,86.99,39,100,39
183,NW,2014-09-04 04:50:00,False,False,False,True,False,False,42.8,42.8,100,37,0,37
184,W,2014-09-04 14:57:00,False,True,False,False,False,False,53.6,44.6,71.45,24,60,24
185,W,2014-09-04 22:49:00,False,False,False,True,False,False,51.8,51.8,100,33,0.06,33
186,W,2014-09-05 04:49:00,False,False,False,True,False,False,51.8,51.8,100,30,0,30
187,SW,2014-09-05 14:51:00,False,True,False,False,False,False,59,51.8,76.98,26,20,29
188,W,2014-09-05 22:51:00,False,False,False,True,False,False,57.2,57.2,100,36,0,36
189,W,2014-09-06 04:48:00,False,False,False,True,False,False,55.4,55.4,100,39,0,39
190,W,2014-09-06 14:49:00,False,False,False,True,False,False,53.6,53.6,100,37,0.12,43
191,NW,2014-09-06 22:49:00,False,False,False,True,False,False,44.6,44.6,100,52,0,52
192,NW,2014-09-07 04:50:00,False,False,False,True,False,False,35.6,35.6,100,34,0.06,34
193,W,2014-09-07 14:52:00,False,False,False,True,False,False,42.8,41,93.3,30,75,30
194,NW,2014-09-07 22:50:00,False,False,False,True,False,False,37.4,37.4,100,37,0.06,37
195,NW,2014-09-08 04:50:00,False,True,False,False,False,False,37.4,33.8,86.69,23,120,23
196,S,2014-09-08 14:55:00,False,False,False,True,False,False,48.2,48.2,100,6,0.5,6
197,E,2014-09-08 22:52:00,False,True,False,False,False,False,41,39.2,93.24,14,50,14
198,SE,2014-09-09 04:52:00,False,True,False,False,False,False,39.2,15.8,38.15,11,70,11
199,SE,2014-09-09 14:49:00,False,True,False,False,False,False,44.6,32,61.03,9,100,9
200,SW,2014-09-09 22:53:00,False,True,False,False,False,False,44.6,15.8,30.98,12,100,12
201,W,2014-09-10 04:52:00,False,True,False,False,False,False,41,37.4,86.89,12,80,12
202,W,2014-09-10 14:56:00,False,True,False,False,False,False,50,44.6,81.61,15,5,21
203,SW,2014-09-10 22:55:00,False,True,False,False,False,False,48.2,39.2,70.88,8,70,8
204,S,2014-09-11 04:55:00,False,True,False,False,False,False,46.4,30.2,53,34,70,41
205,W,2014-09-11 14:49:00,True,True,False,False,False,False,53.6,53.6,100,51,0,59
206,NW,2014-09-11 22:53:00,False,False,False,True,False,False,39.2,39.2,100,53,0,58
207,NW,2014-09-12 04:56:00,False,True,False,False,False,False,37.4,32,80.65,49,130,49
208,NW,2014-09-12 14:55:00,False,True,False,False,False,False,39.2,21.2,48.1,11,130,11
209,W,2014-09-12 22:53:00,False,True,False,False,False,False,44.6,-9.4,9.66,8,130,8
210,S,2014-09-13 04:53:00,False,True,False,False,False,False,39.2,3.2,21.69,13,110,13
211,S,2014-09-13 14:52:00,False,True,False,False,False,False,35.6,28.4,74.8,35,50,35
212,W,2014-09-13 22:57:00,True,True,False,False,False,False,37.4,37.4,100,36,0,42
213,NW,2014-09-14 04:53:00,False,True,False,False,False,False,26.6,24.8,92.8,60,130,60
214,N,2014-09-14 14:53:00,False,True,False,False,False,False,37.4,17.6,44.25,20,130,20
215,W,2014-09-14 22:55:00,False,True,False,False,False,False,35.6,6.8,29.47,22,130,22
216,NW,2014-09-15 04:57:00,False,True,False,False,False,False,28.4,15.8,58.75,25,120,25
217,W,2014-09-15 14:54:00,False,True,False,False,False,False,35.6,32,86.59,9,100,9
218,W,2014-09-15 22:58:00,False,True,False,False,False,False,33.8,32,93.03,21,80,21
219,W,2014-09-16 04:56:00,True,True,False,False,False,False,32,32,100,21,0.06,21
220,W,2014-09-16 14:53:00,False,False,False,True,False,False,35.6,35.6,100,24,0,24
221,W,2014-09-16 22:57:00,False,False,False,True,False,False,33.8,33.8,100,28,0,28
222,W,2014-09-17 04:57:00,False,False,False,True,False,False,32,32,100,29,0,34
223,W,2014-09-17 14:53:00,False,True,False,False,False,False,39.2,33.8,80.79,6,75,6
224,W,2014-09-17 22:55:00,False,True,False,False,False,False,33.8,30.2,86.49,26,80,26
225,NW,2014-09-18 04:52:00,False,False,False,True,False,False,33.8,33.8,100,41,0,41
226,NW,2014-09-18 14:53:00,False,False,False,True,False,False,32,32,100,40,0.06,50
